"","player_name","total_points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games_played","Efficiency_index","salary","position"
"193","James Jones",178,50,14,11,10,-84,-5,13,48,0.63856730425931,1499000,"SF"
"194","Bruno Caboclo",3,2,1,2,1,-11,0,4,6,0.57288486260012,1524000,"SF"
"195","DeMarre Carroll",286,122,27,44,6,-165,-20,28,26,2.24661019827527,13500000,"SF"
"196","Terrence Ross",720,185,56,54,25,-356,-13,46,73,1.59231528685144,3553917,"SF"
"197","Joe Johnson",321,68,86,21,2,-121,-8,43,24,3.03615330936856,414481,"SF"
"198","Justise Winslow",502,403,117,68,26,-267,-37,95,78,2.44585715861094,2481720,"SF"
"199","Kent Bazemore",872,379,171,98,38,-405,-28,138,75,3.54182668971882,2e+06,"SF"
"200","Thabo Sefolosha",480,334,107,85,37,-184,-37,68,75,2.55650649561739,4e+06,"SF"
"201","Coty Clarke",6,1,0,0,0,-2,0,1,3,0.265922637399108,61776,"SF"
"202","Jae Crowder",1038,373,135,126,35,-453,-43,83,73,3.20507444350398,6e+06,"SF"
"203","Nicolas Batum",1046,428,403,65,43,-501,-29,205,70,5.05954676874248,12235750,"SF"
"204","Michael Kidd-Gilchrist",89,45,9,3,3,-28,-9,8,7,1.9489362431105,6331404,"SF"
"205","Chase Budinger",216,121,49,29,9,-113,-14,31,49,1.35500953869493,5e+06,"SF"
"206","Paul George",1874,563,329,152,29,-844,-74,265,81,4.98011500921194,17120106,"SF"
"207","Solomon Hill",246,166,57,37,11,-115,-6,33,59,1.60751261558384,1358880,"SF"
"208","C.J. Miles",753,175,63,53,29,-375,-31,70,64,1.77831393403341,4394225,"SF"
"209","Glenn Robinson",171,68,26,17,9,-86,-12,18,45,0.817418671804523,845000,"SF"
"210","Reggie Bullock",122,68,27,10,2,-55,-1,8,37,0.895128774750298,1252440,"SF"
"211","Stanley Johnson",593,306,118,55,12,-375,-22,114,73,2.25648684888907,2841960,"SF"
"212","Marcus Morris",1131,404,201,67,23,-535,-68,140,80,2.6090078995518,5e+06,"SF"
"213","Mike Dunleavy",222,83,39,14,10,-111,-8,26,31,1.59604521569347,4500000,"SF"
"214","Doug McDermott",764,195,59,14,6,-353,-12,53,81,1.03865823860168,2380440,"SF"
"215","Tony Snell",338,199,63,16,17,-213,-3,52,64,1.50688597002104,1535880,"SF"
"216","Jarell Eddie",63,23,5,5,1,-45,0,1,26,0.319144689802308,561716,"SF"
"217","Kelly Oubre",236,133,13,22,7,-121,-18,34,63,0.788948225872161,1920240,"SF"
"218","Otto Porter",871,391,120,105,32,-378,-31,70,75,2.93966812207613,4662960,"SF"
"219","Garrett Temple",582,212,140,69,18,-304,-34,64,80,1.75982139368357,1100602,"SF"
"220","Evan Fournier",1213,225,213,96,2,-500,-39,133,79,2.71382950025,2288205,"SF"
"221","Mario Hezonja",478,176,109,39,17,-237,-5,97,79,1.8762466092149,3741480,"SF"
"222","Damien Inglis",36,31,10,6,3,-24,-1,11,20,0.955057562686126,855000,"SF"
"223","Thanasis Antetokounmpo",6,1,0,0,0,-1,0,0,2,0.221901930925766,105888,"SF"
"224","Carmelo Anthony",1573,556,299,62,38,-740,-69,176,72,4.04706566472063,22875000,"SF"
"225","Cleanthony Early",31,26,6,2,3,-28,-1,9,17,0.714056030068499,845059,"SF"
"226","Derrick Williams",746,296,75,29,9,-311,-62,61,80,1.07723161369463,4900000,"SF"
"227","Bojan Bogdanovic",887,255,99,29,5,-425,-22,115,79,1.73929638718487,3425510,"SF"
"228","Rondae Hollis-Jefferson",167,154,43,39,16,-75,-15,26,29,2.85076937133309,1335480,"SF"
"229","Sergey Karasev",97,58,35,6,2,-44,-2,22,40,0.919753219493887,1599840,"SF"
"230","Robert Covington",858,419,97,105,40,-438,-37,143,67,3.68422243704991,1e+06,"SF"
"231","Jerami Grant",749,361,135,54,127,-348,-110,110,77,2.59280995182971,845059,"SF"
"232","JaKarr Sampson",240,129,30,11,16,-116,-35,51,47,1.00309467603214,845059,"SF"
"233","Sonny Weems",17,12,2,0,0,-14,-1,4,7,0.44719676376,2800000,"SF"
"234","Harrison Barnes",774,325,117,41,10,-338,-32,57,66,2.06759639835515,3873398,"SF"
"235","Andre Iguodala",457,263,219,73,19,-192,-32,79,65,3.01320898888619,11710456,"SF"
"236","Kyle Anderson",350,244,123,60,29,-157,-21,59,78,2.05140890475355,1142879,"SF"
"237","Rasual Butler",124,56,24,13,23,-55,-5,8,46,0.962902218684557,1499187,"SF"
"238","Kawhi Leonard",1523,493,186,128,71,-539,-42,105,72,4.61767849280705,16500000,"SF"
"239","Kevin Durant",2029,589,361,69,85,-683,-51,250,72,6.22904321042946,20158622,"SF"
"240","Kyle Singler",231,141,24,30,9,-135,-15,32,68,0.897426950022157,5e+06,"SF"
"241","Jeff Green",293,91,40,18,21,-153,-25,24,27,1.65064987803976,9200000,"SF"
"242","Wesley Johnson",549,248,49,89,56,-307,-16,54,80,2.15594744299334,1100600,"SF"
"243","Paul Pierce",417,186,71,33,17,-253,-12,58,68,1.50605272775322,3400000,"SF"
"244","Al-Farouq Aminu",839,499,138,72,53,-420,-41,120,82,3.01904227556256,7500000,"SF"
"245","Maurice Harkless",498,280,67,49,35,-216,-42,62,78,1.6776284036338,2894059,"SF"
"246","Justin Anderson",208,132,29,19,25,-104,-11,24,55,1.22924531345366,1449000,"SF"
"247","Jeremy Evans",71,54,2,6,9,-22,-6,7,30,0.731319712425926,1100602,"SF"
"248","Chandler Parsons",837,285,169,46,21,-331,-43,95,61,2.78772081912588,15361500,"SF"
"249","Matt Barnes",758,420,163,78,57,-429,-27,121,76,3.32686910075336,3542500,"SF"
"250","James Ennis",16,7,2,4,2,-9,-4,2,10,0.345507714047912,845059,"SF"
"251","P.J. Hairston",124,46,9,8,4,-86,-6,17,18,1.05573583830056,1201440,"SF"
"252","Lance Stephenson",369,115,73,19,6,-162,-15,46,26,2.77918660139316,9e+06,"SF"
"253","Trevor Ariza",1025,366,188,160,26,-502,-35,113,81,3.45396458363322,8193030,"SF"
"254","Michael Beasley",255,98,16,11,9,-98,-11,24,20,2.15997248061589,306527,"SF"
"255","Corey Brewer",590,199,109,84,19,-340,-35,78,82,1.72847663270271,8200000,"SF"
