"","name","plot_name","description"
"1","team name","team","the team the row belongs to"
"2","Mininum salary","Mininum","Mininum salary in the team"
"3","First Quatile salary","First_Quatile","First_Quatile in the team"
"4","Median salary","Mean","Median"
"5","Third Quatile salary","Third_Quatile","Third_Quatile in the team"
"6","Maximum salary","Maximum_salary","Maximum in the team"
"7","Total Pay Roll salary","Total_Pay_Roll","Total_Pay_Roll in the team"
"8","Interquatile salary","Interquatile","Interquatile in the team"
"9","Standard Deviation salary","Standard_Deviation","Standard_Deviation in the team"
